parking_ID,parking_name,parking_adr,parking_lat,parking_lng,parking_area,parking_pay,parking_time ,C,D,floating_people,land_grade,ppi,ppg,ppr
414-1-000099,창원대로204번길(죽전삼거리~차룡단지로 접합부) 공영주차장,경상남도 창원시 의창구 창원대로204번길(죽전삼거리~차룡단지로 접합부),35.239803,128.621456,62,무료,24시간,0,44,70.52047619,1,187.6585754,A,1
414-1-000140,용원2길 공영주차장,경상남도 창원시 의창구 창원대로397번길,35.235554,128.642753,36,기본 30분 500원 / 추가 10분당 200원,8시~24시,0,11201,5253.644286,1,83.64507129,C,3
414-1-000107,"천주로(소답동 740번지, 국도 진입부 램프구간) 공영주차장",경상남도 창원시 의창구 천주로,35.270753,128.615072,70,무료,24시간,0,0,794.2914286,1,184.339276,A,1
414-1-000125,천주로(북창원IC입구) 공영주차장,경상남도 창원시 의창구 천주로(북창원IC입구),35.286422,128.605599,31,무료,24시간,0,518,86.64738095,1,190.2143075,A,1
414-1-000111,태복산로(명서동24-1번지~명서동24-14 맞은편) 공영주차장,경상남도 창원시 의창구 태복산로,35.252922,128.64061,5,무료,24시간,0,1822,2889.781072,1,179.7980042,A,1
414-1-000132,태복산로13번길(도계동 892 앞) 공영주차장,경상남도 창원시 의창구 태복산로13번길(도계동 892 앞),35.255123,128.638414,8,무료,24시간,0,1050,2673.906191,1,183.0785506,A,1
414-1-000097,평산로(평산사거리~차룡단지로 접합부) 공영주차장,경상남도 창원시 의창구 평산로(평산사거리~차룡단지로 접합부),35.249011,128.616806,142,무료,24시간,0,415,3875.287976,1,162.4008307,A,1
417-2-000002,삼계공영주차장,경상남도 창원시 마산회원구 내서읍 삼계6길 26,35.233368,128.503367,96,기본 30분 500원 / 추가 10분당 200원,8시~24시,3,11840,9259.432619,1,32.79180686,F,5
417-2-000015,신감마을공영주차장,경상남도 창원시 마산회원구 내서읍 신감리 1207-10,35.205255,128.510843,84,무료,24시간,0,0,504.1535714,1,183.2640536,A,1
417-2-000013,신목마을공영주차장,경상남도 창원시 마산회원구 내서읍 신감리 454,35.191941,128.494233,34,무료,24시간,0,0,43.79392857,1,191.9437156,A,1
417-2-000014,안성마을공영주차장,경상남도 창원시 마산회원구 내서읍 안성리 472-4,35.264748,128.550702,35,무료,24시간,0,0,197.0094048,1,191.3044297,A,1
417-2-000007,중리1공영주차장,경상남도 창원시 마산회원구 내서읍 중리 1041-1,35.249769,128.50978,18,무료,24시간,0,754,1752.341428,1,185.7760993,A,1
417-2-000008,중리2공영주차장,경상남도 창원시 마산회원구 내서읍 중리 1049-2,35.247289,128.508086,41,무료,24시간,0,1133,1670.587381,1,181.2530088,A,1
