,place1,Freq,,
829,시루,3,,
830,시분,3,,
831,시비,3,,
832,시외버스터미널,3,,
833,신랑,3,,
834,신마산롯데마트주차장주변주정차금지및견인지역팻말,3,,
835,실력,3,,
836,십자,3,,
837,아이디어,3,,
838,아이존빌,3,,
839,안녕,3,,
840,안민고개,3,,
841,야구,3,,
842,야밤,3,,
843,야외,3,,
844,양덕서울아동,3,,
845,양도,3,,
846,어디해야,3,,
847,어떻해야,3,,
848,업무,3,,
849,엉터리,3,,
850,에서,3,,
851,여권,3,,
852,연수,3,,
853,연수원,3,,
854,옆길,3,,
855,예정,3,,
856,오거리,3,,
857,온천,3,,
858,완전,3,,
859,외부,3,,
860,요소,3,,
861,요원,3,,
862,욕하는아줌,3,,
863,우선,3,,
864,우성,3,,
865,우회전,3,,
866,운동,3,,
867,웅남동,3,,
868,월일,3,,
869,육아,3,,
870,의견,3,,
871,의안,3,,
872,의원,3,,
873,이기,3,,
874,이래,3,,
875,이륜차,3,,
876,이상,3,,
877,일줄째,3,,
878,임대,3,,
879,입체,3,,
880,있는곳,3,,
881,있을까,3,,
882,자기집,3,,
883,자동,3,,
884,자모,3,,
885,잘못,3,,
886,장난감,3,,
887,장님,3,,
888,장애자,3,,
889,재건축,3,,
890,전면주차,3,,
891,전자,3,,
892,접수,3,,
893,접촉사고,3,,
894,정류소,3,,
895,정산,3,,
896,정상,3,,
897,정태선공짜공무원,3,,
898,정형외과,3,,
899,제차,3,,
900,제초,3,,
901,조속,3,,
902,종합,3,,
903,좋은곳,3,,
904,주장,3,,
905,주차공간어때요,3,,
906,주차단속알림,3,,
907,주차료,3,,
908,주차어디에하시나요,3,,
909,주차어디하세요,3,,
910,주차요원,3,,
911,주차중쿠션,3,,
912,주차하기괜찮나요,3,,
913,주차하다가차긁어먹었네용,3,,
914,주차하신분,3,,
915,주차할곳도,3,,
916,주차할만한,3,,
917,주차할수,3,,
918,주차해보신분,3,,
919,주행,3,,
920,중앙도서관,3,,
921,중앙선,3,,
922,중앙역에,3,,
923,중인,3,,
924,중학교,3,,
925,증설,3,,
926,지가잘못주차해놓고,3,,
927,지귀,3,,
928,지속,3,,
929,지옥,3,,
930,지점,3,,
931,지판,3,,
932,지혜,3,,
933,지혜의바다,3,,
934,직거래,3,,
935,직무,3,,
936,진정,3,,
937,진짜,3,,
938,진해군항제,3,,
939,진해도서관,3,,
940,진해연세병원,3,,
941,집주,3,,
942,창고,3,,
943,창곡로,3,,
944,창동공영주차장,3,,
945,천주,3,,
946,청소년,3,,
947,체육공원,3,,
